episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,-1,,0,,house
1,1,30.0,6,,house
2,0,0.0,5,14.0,house
3,0,0.0,8,15.0,house
4,1,100.0,8,,house
5,0,0.0,5,11.0,house
6,0,0.0,8,21.0,house
7,0,0.0,3,15.0,house
8,0,0.0,3,14.0,house
9,1,30.0,3,,house
10,0,0.0,8,9.0,house
11,0,0.0,5,11.0,house
12,0,0.0,5,6.0,house
13,0,0.0,5,13.0,house
14,1,30.0,6,,house
15,0,0.0,3,6.0,house
16,1,30.0,3,,house
17,0,0.0,3,20.0,house
18,0,0.0,3,15.0,house
19,0,0.0,5,6.0,house
20,0,0.0,3,3.0,house
21,1,20.0,0,,house
22,1,30.0,8,,house
23,1,100.0,3,,house
24,0,0.0,0,9.0,house
25,0,0.0,3,11.0,house
26,0,0.0,3,16.0,house
27,1,20.0,6,,house
28,0,0.0,5,14.0,house
29,0,0.0,5,9.0,house
