episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0.0,0,15.0,house
1,-1,,6,,house
2,0,0.0,5,10.0,house
3,-1,,8,,house
4,0,0.0,8,11.0,house
5,-1,,5,,house
6,-1,,8,,house
7,0,0.0,3,15.0,house
8,0,0.0,3,13.0,house
9,0,0.0,3,21.0,house
10,0,0.0,8,13.0,house
11,0,0.0,5,11.0,house
12,1,50.0,5,,house
13,0,0.0,5,16.0,house
14,-1,,6,,house
15,1,30.0,3,,house
16,-1,,3,,house
17,-1,,3,,house
18,0,0.0,3,15.0,house
19,-1,,5,,house
20,-1,,3,,house
21,1,20.0,0,,house
22,-1,,8,,house
23,0,0.0,3,20.0,house
24,0,0.0,0,13.0,house
25,0,0.0,3,15.0,house
26,0,0.0,3,12.0,house
27,-1,,6,,house
28,-1,,5,,house
29,0,0.0,5,8.0,house
