episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,-1,,0,,house
1,0,0.0,6,9.0,house
2,1,30.0,5,,house
3,-1,,8,,house
4,-1,,8,,house
5,-1,,5,,house
6,1,30.0,8,,house
7,0,0.0,3,13.0,house
8,0,0.0,3,14.0,house
9,0,0.0,3,21.0,house
10,0,0.0,8,10.0,house
11,-1,,5,,house
12,-1,,5,,house
13,-1,,5,,house
14,-1,,6,,house
15,1,20.0,3,,house
16,-1,,3,,house
17,-1,,3,,house
18,-1,,3,,house
19,-1,,5,,house
20,-1,,3,,house
21,0,0.0,0,14.0,house
22,-1,,8,,house
23,0,0.0,3,9.0,house
24,0,0.0,0,10.0,house
25,-1,,3,,house
26,0,0.0,3,11.0,house
27,-1,,6,,house
28,-1,,5,,house
29,-1,,5,,house
