episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0.0,0,9.0,house
1,0,0.0,6,11.0,house
2,1,50.0,5,,house
3,1,50.0,8,,house
4,1,50.0,8,,house
5,1,30.0,5,,house
6,0,0.0,8,17.0,house
7,1,20.0,3,,house
8,0,0.0,3,14.0,house
9,0,0.0,3,20.0,house
10,0,0.0,8,13.0,house
11,0,0.0,5,14.0,house
12,0,0.0,5,9.0,house
13,1,30.0,5,,house
14,0,0.0,6,16.0,house
15,1,20.0,3,,house
16,0,0.0,3,16.0,house
17,0,0.0,3,20.0,house
18,1,30.0,3,,house
19,0,0.0,5,9.0,house
20,1,20.0,3,,house
21,-1,,0,,house
22,0,0.0,8,8.0,house
23,1,50.0,3,,house
24,0,0.0,0,11.0,house
25,0,0.0,3,18.0,house
26,0,0.0,3,12.0,house
27,0,0.0,6,9.0,house
28,1,20.0,5,,house
29,0,0.0,5,11.0,house
