episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,20.0,8,,slate
1,0,0.0,3,10.0,slate
2,1,100.0,15,,slate
3,1,30.0,5,,slate
4,1,50.0,0,,slate
5,0,0.0,6,8.0,slate
6,1,100.0,8,,slate
7,1,20.0,13,,slate
8,1,50.0,3,,slate
9,1,20.0,6,,slate
10,1,50.0,11,,slate
11,-1,,6,,slate
12,-1,,6,,slate
13,1,20.0,10,,slate
14,1,100.0,3,,slate
15,0,0.0,8,16.0,slate
16,1,100.0,6,,slate
17,1,30.0,3,,slate
18,0,0.0,5,15.0,slate
19,0,0.0,8,14.0,slate
20,1,100.0,5,,slate
21,0,0.0,3,18.0,slate
22,0,0.0,5,20.0,slate
23,1,50.0,11,,slate
24,1,50.0,6,,slate
25,1,50.0,3,,slate
26,0,0.0,9,16.0,slate
27,1,50.0,5,,slate
28,0,0.0,5,20.0,slate
29,0,0.0,6,8.0,slate
