episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,-1,,0,,house
1,0,0.0,6,8.0,house
2,0,0.0,5,20.0,house
3,-1,,8,,house
4,0,0.0,8,11.0,house
5,0,0.0,5,15.0,house
6,0,0.0,8,18.0,house
7,0,0.0,3,15.0,house
8,1,50.0,3,,house
9,0,0.0,3,12.0,house
10,0,0.0,8,11.0,house
11,0,0.0,5,16.0,house
12,0,0.0,5,20.0,house
13,0,0.0,5,20.0,house
14,0,0.0,6,9.0,house
15,-1,,3,,house
16,0,0.0,3,15.0,house
17,1,30.0,3,,house
18,-1,,3,,house
19,-1,,5,,house
20,0,0.0,3,3.0,house
21,0,0.0,0,14.0,house
22,0,0.0,8,15.0,house
23,0,0.0,3,15.0,house
24,0,0.0,0,9.0,house
25,0,0.0,3,6.0,house
26,0,0.0,3,15.0,house
27,-1,,6,,house
28,0,0.0,5,13.0,house
29,0,0.0,5,15.0,house
